# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805
"# CMPak PK Geofeed,lastupdated 2024-05-29T01:11:28-08:00"
"223.123.87.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.88.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.89.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.90.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.91.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.92.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.93.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.94.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.95.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.96.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.97.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.98.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.99.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.100.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.101.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.102.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.103.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.104.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.105.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.106.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.107.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.108.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.109.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.110.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.111.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.112.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.113.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.114.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.115.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.116.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.117.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.118.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.119.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.120.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.121.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.122.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.123.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.124.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.125.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.126.0/24,PK,PK-ISB,ISLAMABAD"
"223.123.127.0/24,PK,PK-ISB,ISLAMABAD"
"144.48.0.0/24,PK,PK-ISB,ISLAMABAD"
"144.48.1.0/24,PK,PK-ISB,ISLAMABAD"
"144.48.2.0/24,PK,PK-ISB,ISLAMABAD"
"144.48.3.0/24,PK,PK-ISB,ISLAMABAD"
